wavelength (nm),0,50,100,150,200,250,300,350,400,450,500,550,600,650,700
300,2.077027,2.030762,2.108298,2.06142,2.031083,2.065385,2.049332,2.067972,2.068833,2.077461,2.066118,2.062977,2.097679,2.099474,2.098798
301,2.008174,2.012303,1.999052,2.009828,2.001492,2.016109,2.028246,2.055581,2.006113,2.076013,2.014859,2.042868,2.041368,2.050451,2.059481
302,1.97798,1.977583,1.984691,1.969146,1.999989,2.002693,1.98237,1.992721,1.982623,1.985069,1.98853,2.023871,2.014941,2.004228,2.011659
303,1.935987,1.933034,1.944669,1.956571,1.942666,1.954429,1.935797,1.983065,1.964514,1.961662,1.946533,1.95347,1.962557,1.981353,1.96193
304,1.904012,1.891674,1.878912,1.904076,1.936898,1.910462,1.906267,1.929154,1.931568,1.94766,1.910182,1.905368,1.920226,1.93891,1.937593
305,1.886574,1.862247,1.877601,1.889042,1.866884,1.865639,1.87027,1.877021,1.873315,1.882146,1.883691,1.914734,1.871963,1.885713,1.896076
306,1.845908,1.848632,1.839256,1.85086,1.832102,1.858256,1.855977,1.833628,1.857453,1.829402,1.86062,1.865203,1.865067,1.86536,1.88929
307,1.787382,1.827007,1.809533,1.80206,1.80371,1.796973,1.81973,1.833975,1.830506,1.817481,1.832992,1.835288,1.835814,1.826368,1.836628
308,1.758233,1.775121,1.774077,1.788001,1.769128,1.794264,1.785004,1.81184,1.780223,1.782815,1.799463,1.789744,1.801817,1.773822,1.816984
309,1.746439,1.739213,1.741134,1.745324,1.741987,1.752008,1.75883,1.764631,1.766773,1.740003,1.777742,1.774348,1.76271,1.77505,1.774155
310,1.723888,1.734111,1.724033,1.708724,1.723338,1.734556,1.729745,1.720468,1.725309,1.733106,1.728544,1.747141,1.749695,1.743786,1.767834
311,1.686046,1.692519,1.69333,1.695657,1.693327,1.70535,1.697222,1.704974,1.723569,1.712179,1.724174,1.712051,1.721655,1.723232,1.73465
312,1.679716,1.678454,1.682076,1.690944,1.685443,1.688172,1.679816,1.687507,1.696257,1.678996,1.696501,1.70206,1.694914,1.708437,1.692581
313,1.656243,1.649714,1.664011,1.653706,1.666005,1.670667,1.663172,1.684509,1.68059,1.671427,1.659516,1.677318,1.675743,1.681553,1.669822
314,1.626362,1.63903,1.639216,1.62986,1.637633,1.641589,1.637697,1.658767,1.64397,1.654496,1.649899,1.652066,1.665328,1.664033,1.670913
315,1.601474,1.619289,1.617743,1.622606,1.618356,1.626916,1.628906,1.621101,1.646449,1.629316,1.635466,1.631413,1.640927,1.646787,1.649909
316,1.587922,1.586784,1.590705,1.592626,1.608062,1.601266,1.595057,1.613263,1.606821,1.598618,1.608831,1.622264,1.612777,1.610416,1.635386
317,1.566692,1.57137,1.573992,1.578183,1.577911,1.579702,1.589308,1.588291,1.592415,1.600418,1.596641,1.603227,1.587151,1.593765,1.612852
318,1.566058,1.573056,1.564911,1.578848,1.581398,1.572209,1.575951,1.573665,1.580477,1.581239,1.583466,1.581335,1.585895,1.583451,1.596761
